,station_id,latitude,longitude
92,https://api.weather.gov/stations/008NH,-71.45692,42.73175
93,https://api.weather.gov/stations/008NW,-111.48105,44.8172
94,https://api.weather.gov/stations/008PG,-121.59027,36.86074
95,https://api.weather.gov/stations/008SE,-117.35487,34.31443
96,https://api.weather.gov/stations/0097W,-84.37652,30.10783
97,https://api.weather.gov/stations/009BH,-103.62971,44.44766
98,https://api.weather.gov/stations/009CE,-94.98274,29.67871
99,https://api.weather.gov/stations/009HE,-155.81249,20.02396
100,https://api.weather.gov/stations/009HI,-155.851,19.803
101,https://api.weather.gov/stations/009ID,-116.11247,44.71661
102,https://api.weather.gov/stations/009MD,-76.77675,38.86236
103,https://api.weather.gov/stations/009NH,-71.49669,42.79292
104,https://api.weather.gov/stations/009NW,-110.83718,45.67069
105,https://api.weather.gov/stations/009PG,-122.59485,38.63502
106,https://api.weather.gov/stations/009SE,-117.24382,33.79369
107,https://api.weather.gov/stations/00NMC,-105.31585,35.03584
108,https://api.weather.gov/stations/010BH,-103.86879,43.19814
109,https://api.weather.gov/stations/010CE,-94.91115,29.49374
110,https://api.weather.gov/stations/010HE,-155.83597,20.04863
111,https://api.weather.gov/stations/010HI,-155.8738,19.7254
112,https://api.weather.gov/stations/010ID,-116.11755,44.64004
113,https://api.weather.gov/stations/010MD,-76.84308,38.59709
114,https://api.weather.gov/stations/010NH,-71.82749,42.75027
115,https://api.weather.gov/stations/010NW,-112.49302,45.85747
116,https://api.weather.gov/stations/010PG,-121.62277,36.90017
117,https://api.weather.gov/stations/010SE,-116.76829,33.90139
118,https://api.weather.gov/stations/011BH,-105.07571,38.51383
119,https://api.weather.gov/stations/011CE,-94.98226,29.51261
120,https://api.weather.gov/stations/011HE,-155.78082,19.93051
121,https://api.weather.gov/stations/011HI,-157.8025,21.3329999
122,https://api.weather.gov/stations/011ID,-116.12015,44.53776
123,https://api.weather.gov/stations/011MD,-75.69919,38.17779
124,https://api.weather.gov/stations/011NH,-71.44555,42.95398
125,https://api.weather.gov/stations/011NW,-111.95791,45.27459
126,https://api.weather.gov/stations/011PG,-120.0526,38.4864
127,https://api.weather.gov/stations/011SE,-116.78573,33.90331
128,https://api.weather.gov/stations/0128W,-82.55997,27.38139
129,https://api.weather.gov/stations/012BH,-105.20828,38.31189
130,https://api.weather.gov/stations/012CE,-95.21356,29.85009
131,https://api.weather.gov/stations/012HC,-95.63604,29.78482
132,https://api.weather.gov/stations/012HE,-155.7847899,19.9189599
133,https://api.weather.gov/stations/012HI,-157.8369,21.3390999
134,https://api.weather.gov/stations/012ID,-116.05534,44.57513
135,https://api.weather.gov/stations/012MD,-75.77415,38.35866
136,https://api.weather.gov/stations/012NW,-110.76155,45.66013
137,https://api.weather.gov/stations/012SE,-118.17286,34.10234
138,https://api.weather.gov/stations/013BH,-104.71017,38.49077
139,https://api.weather.gov/stations/013CE,-95.32595,29.68578
140,https://api.weather.gov/stations/013HE,-155.84274,20.07507
141,https://api.weather.gov/stations/013HI,-156.2458,20.7382
142,https://api.weather.gov/stations/013ID,-117.0657,44.85669
143,https://api.weather.gov/stations/013MD,-76.6234,39.39474
144,https://api.weather.gov/stations/013NH,-70.82996,42.92635
145,https://api.weather.gov/stations/013NW,-109.23655,45.18248
146,https://api.weather.gov/stations/013PG,-121.5544,36.86574
147,https://api.weather.gov/stations/013SE,-117.18807,33.72864
148,https://api.weather.gov/stations/014BH,-103.93141,38.1700299
149,https://api.weather.gov/stations/014CE,-95.22203,30.06874
