,station_url,latitude,longitude
103,https://api.weather.gov/stations/BUNUT,40.314757,-111.563976
104,https://api.weather.gov/stations/BVDU1,39.13683,-111.55814
105,https://api.weather.gov/stations/BXCU1,38.50809,-112.01856
106,https://api.weather.gov/stations/BYCU1,37.64167,-112.17222
107,https://api.weather.gov/stations/C0439,41.12424,-111.91579
108,https://api.weather.gov/stations/C2399,39.48471,-111.49394
109,https://api.weather.gov/stations/C3996,39.37217,-112.33383
110,https://api.weather.gov/stations/C4143,40.46365,-111.8279
111,https://api.weather.gov/stations/C4541,38.00783,-109.18333
112,https://api.weather.gov/stations/C4611,40.7945,-111.13367
113,https://api.weather.gov/stations/C5210,40.98733,-111.92867
114,https://api.weather.gov/stations/C7410,41.06767,-112.04067
115,https://api.weather.gov/stations/C8427,41.26339,-111.98071
116,https://api.weather.gov/stations/C8428,41.04667,-111.682
117,https://api.weather.gov/stations/C8429,41.8,-111.3
118,https://api.weather.gov/stations/C8430,41.7,-111.2
119,https://api.weather.gov/stations/C8632,41.78748,-112.16482
120,https://api.weather.gov/stations/C8633,41.94033,-111.81345
121,https://api.weather.gov/stations/C8635,41.10467,-111.98883
122,https://api.weather.gov/stations/C8721,40.7,-112.0245
123,https://api.weather.gov/stations/C8826,40.69267,-111.7885
124,https://api.weather.gov/stations/C8842,41.55,-111.95333
125,https://api.weather.gov/stations/C8843,41.50217,-111.99417
126,https://api.weather.gov/stations/C8844,41.26,-111.71117
127,https://api.weather.gov/stations/C8845,41.96417,-112.70867
128,https://api.weather.gov/stations/C8846,41.81583,-113.33333
129,https://api.weather.gov/stations/C8847,41.722,-112.22783
130,https://api.weather.gov/stations/C8914,41.95367,-111.492
131,https://api.weather.gov/stations/C8916,41.61583,-111.9325
132,https://api.weather.gov/stations/C8917,41.73533,-111.85533
133,https://api.weather.gov/stations/C8946,41.14783,-112.11533
134,https://api.weather.gov/stations/C8947,41.24,-111.9805
135,https://api.weather.gov/stations/C8948,40.93117,-111.89633
136,https://api.weather.gov/stations/C9315,41.18551,-112.1005
137,https://api.weather.gov/stations/C9350,41.57415,-112.0325
138,https://api.weather.gov/stations/C9635,40.35533,-111.5485
139,https://api.weather.gov/stations/C9991,41.15609,-112.04947
140,https://api.weather.gov/stations/CAJU1,41.81568,-111.98043
141,https://api.weather.gov/stations/CAMU1,40.28296,-111.6099
142,https://api.weather.gov/stations/CAOU1,39.65795,-110.37906
143,https://api.weather.gov/stations/CAVU1,37.35524,-113.12341
144,https://api.weather.gov/stations/CCKU1,40.88529,-111.06954
145,https://api.weather.gov/stations/CCPUT,40.378369,-111.175008
146,https://api.weather.gov/stations/CCRU1,40.88472,-109.41694
147,https://api.weather.gov/stations/CCS,38.59125,-112.494
148,https://api.weather.gov/stations/CCSUT,40.37731,-111.08225
149,https://api.weather.gov/stations/CDCU1,37.45723,-113.22482
150,https://api.weather.gov/stations/CDMU1,40.30072,-112.77678
151,https://api.weather.gov/stations/CEN,40.94968,-111.891629
152,https://api.weather.gov/stations/CENU1,37.138867,-112.447817
153,https://api.weather.gov/stations/CHCU1,40.85464,-111.04765
154,https://api.weather.gov/stations/CHPU1,40.81028,-110.07333
155,https://api.weather.gov/stations/CJSU1,37.81333,-109.48723
156,https://api.weather.gov/stations/CKRU1,41.33156,-111.30341
157,https://api.weather.gov/stations/CLCU1,39.86671,-111.28363
158,https://api.weather.gov/stations/CLFU1,40.11244,-113.87636
159,https://api.weather.gov/stations/CLN,40.5763,-111.6383
160,https://api.weather.gov/stations/CLRU1,38.81056,-109.29278
161,https://api.weather.gov/stations/CLZU1,38.15113,-112.25149
162,https://api.weather.gov/stations/CMP06,37.66611,-113.07278
163,https://api.weather.gov/stations/CMP08,39.35306,-112.57833
164,https://api.weather.gov/stations/CMP14,38.39389,-113.01278
165,https://api.weather.gov/stations/CMP30,37.05,-113.56917
166,https://api.weather.gov/stations/COAU1,37.67222,-113.03389
167,https://api.weather.gov/stations/COH,40.528822,-112.297803
168,https://api.weather.gov/stations/COOP4BL,37.61322,-109.48484
169,https://api.weather.gov/stations/COOPALMU1,40.36696,-110.29858
170,https://api.weather.gov/stations/COOPALTU1,37.4402,-112.4819
171,https://api.weather.gov/stations/COOPAMFU1,40.46437,-111.77088
172,https://api.weather.gov/stations/COOPANGU1,38.2486,-111.9608
173,https://api.weather.gov/stations/COOPANPU1,38.6163,-109.6191
174,https://api.weather.gov/stations/COOPATAU1,40.59058,-111.63703
175,https://api.weather.gov/stations/COOPBFBU1,37.53,-110.72
176,https://api.weather.gov/stations/COOPBGWU1,37.0769,-111.6638
177,https://api.weather.gov/stations/COOPBLFU1,37.2824,-109.5575
178,https://api.weather.gov/stations/COOPBLRU1,38.7076,-112.9539
179,https://api.weather.gov/stations/COOPBODU1,37.905,-111.42
180,https://api.weather.gov/stations/COOPBRGU1,41.52417,-112.04349
181,https://api.weather.gov/stations/COOPBRYU1,37.64101,-112.17024
182,https://api.weather.gov/stations/COOPCALU1,39.8997,-113.7128
183,https://api.weather.gov/stations/COOPCECU1,37.6658,-113.08372
184,https://api.weather.gov/stations/COOPCNDU1,38.1678,-109.7597
185,https://api.weather.gov/stations/COOPCNYU1,38.46,-109.8213
186,https://api.weather.gov/stations/COOPCSTU1,39.20765,-111.0128
187,https://api.weather.gov/stations/COOPCUTU1,41.83308,-112.05788
188,https://api.weather.gov/stations/COOPDESU1,39.2872,-112.6519
189,https://api.weather.gov/stations/COOPDINU1,40.4384,-109.307
190,https://api.weather.gov/stations/COOPDSNU1,40.1703,-110.3978
191,https://api.weather.gov/stations/COOPECHU1,40.96554,-111.4336
192,https://api.weather.gov/stations/COOPECSU1,37.7686,-111.5977
193,https://api.weather.gov/stations/COOPEFRU1,39.35833,-111.59851
194,https://api.weather.gov/stations/COOPEMRU1,37.5764,-113.715
195,https://api.weather.gov/stations/COOPESDU1,39.1077,-113.9533
196,https://api.weather.gov/stations/COOPFAFU1,40.26231,-112.08973
197,https://api.weather.gov/stations/COOPFERU1,39.0875,-111.1325
198,https://api.weather.gov/stations/COOPFILU1,38.96035,-112.32399
199,https://api.weather.gov/stations/COOPFIPU1,38.5777,-112.3347
200,https://api.weather.gov/stations/COOPGNTU1,40.602,-112.5076
