lat,lon,target_date,fire,temp_d1,humidity_d1,precip_d1,temp_d2,humidity_d2,precip_d2,temp_d3,humidity_d3,precip_d3,temp_d4,humidity_d4,precip_d4,temp_d5,humidity_d5,precip_d5,temp_d6,humidity_d6,precip_d6,temp_d7,humidity_d7,precip_d7
40.73345,-112.2088,2021-05-01,0,15.9,52.0,0.0,11.8,67.0,0.0,10.1,68.0,0.0,6.8,77.0,1.1,8.4,78.0,19.3,12.6,51.0,0.0,12.8,38.0,0.4
40.5629,-112.097,2022-06-17,1,19.5,26.0,0.0,11.2,49.0,0.0,9.2,64.0,4.7,17.7,51.0,8.8,25.2,23.0,0.0,24.1,29.0,0.0,24.2,26.0,0.0
40.5629,-112.097,2021-06-17,0,26.7,30.0,0.0,28.8,11.0,0.0,27.2,12.0,0.0,26.5,12.0,0.0,21.0,16.0,0.0,13.6,33.0,0.0,19.8,20.0,0.5
37.21093,-113.1552,2020-08-24,1,29.6,24.0,0.0,30.8,23.0,0.0,30.8,16.0,0.0,32.6,15.0,0.0,32.0,18.0,0.0,31.0,12.0,0.0,32.2,10.0,0.0
37.21093,-113.1552,2019-08-25,0,27.6,21.0,0.0,27.5,16.0,0.0,27.9,10.0,0.0,28.2,13.0,0.0,27.2,16.0,0.0,27.7,17.0,0.0,27.5,16.0,0.0
41.02042,-111.879,2020-04-26,1,5.9,54.0,0.0,3.9,62.0,0.0,5.7,71.0,4.7,7.0,50.0,1.0,4.3,66.0,0.3,3.4,66.0,0.0,4.0,60.0,0.0
41.02042,-111.879,2019-04-27,0,7.7,74.0,4.4,8.2,77.0,0.4,7.9,65.0,0.0,3.9,78.0,0.1,4.3,82.0,0.7,6.4,75.0,3.2,8.9,52.0,0.0
40.44874,-111.3514,2022-08-10,1,20.1,31.0,0.0,17.9,46.0,0.0,17.0,63.0,0.4,18.0,69.0,0.9,19.6,53.0,3.7,20.7,42.0,0.0,18.8,54.0,0.1
40.44874,-111.3514,2021-08-10,0,19.6,28.0,0.0,18.4,35.0,0.0,16.2,41.0,0.0,20.7,30.0,0.1,20.6,38.0,0.4,18.0,44.0,0.0,17.1,64.0,0.1
37.03942,-112.5087,2021-06-28,1,26.4,21.0,0.0,25.1,22.0,0.0,24.0,27.0,0.0,22.9,35.0,0.0,26.5,21.0,0.0,27.1,13.0,0.0,29.7,13.0,0.0
37.03942,-112.5087,2020-06-28,0,26.7,16.0,0.0,26.8,17.0,0.0,28.2,14.0,0.0,28.2,14.0,0.0,27.7,17.0,0.0,27.5,14.0,0.0,26.1,13.0,0.0
