id,date_time,temperature_1,dewpoint_1,relative_humidity_1,precipitation_1,snow_1,wind_direction_1,wind_speed_1,wind_gust_1,air_pressure_1,sunshine_1,temperature_2,dewpoint_2,relative_humidity_2,precipitation_2,snow_2,wind_direction_2,wind_speed_2,wind_gust_2,air_pressure_2,sunshine_2,temperature_3,dewpoint_3,relative_humidity_3,precipitation_3,snow_3,wind_direction_3,wind_speed_3,wind_gust_3,air_pressure_3,sunshine_3,temperature_4,dewpoint_4,relative_humidity_4,precipitation_4,snow_4,wind_direction_4,wind_speed_4,wind_gust_4,air_pressure_4,sunshine_4,temperature_5,dewpoint_5,relative_humidity_5,precipitation_5,snow_5,wind_direction_5,wind_speed_5,wind_gust_5,air_pressure_5,sunshine_5,temperature_6,dewpoint_6,relative_humidity_6,precipitation_6,snow_6,wind_direction_6,wind_speed_6,wind_gust_6,air_pressure_6,sunshine_6,temperature_7,dewpoint_7,relative_humidity_7,precipitation_7,snow_7,wind_direction_7,wind_speed_7,wind_gust_7,air_pressure_7,sunshine_7,has_fire
920,2024-10-24 02:00:00,24.4,5.2,29.0,0.0,,210.0,18.4,,999.1,,12.8,-0.1,41.0,0.0,,170.0,11.2,,1013.8,,17.8,4.4,41.0,0.0,,30.0,9.4,,1018.0,,18.3,3.7,38.0,0.0,,150.0,9.4,,1019.5,,21.7,4.3,32.0,0.0,,0.0,0.0,,1018.6,,21.7,2.4,28.0,0.0,,170.0,5.4,,1018.5,,22.2,1.2,25.0,0.0,,220.0,7.6,,1015.5,,0.0
921,2024-09-17 13:00:00,23.0,3.5,28.0,0.0,,160.0,33.5,,1011.0,,14.5,1.7,42.0,0.0,,290.0,25.9,,1011.0,,9.9,0.8,53.0,0.0,,220.0,11.2,,1019.0,,13.2,2.7,49.0,0.0,,0.0,0.0,,1018.0,,19.4,-2.3,23.0,0.0,,170.0,24.1,,1014.0,,15.3,3.1,44.0,0.0,,340.0,5.4,,1010.0,,12.7,10.8,88.0,1.0,,350.0,5.4,,1011.0,,0.0
922,2023-03-01 11:00:00,-8.3,-10.5,84.0,0.0,,100.0,7.6,,1009.3,,-5.0,-6.1,92.0,0.0,,0.0,0.0,,1015.7,,-1.7,-7.8,63.0,0.0,,170.0,9.4,,1020.9,,0.6,-3.3,75.0,0.0,,0.0,0.0,,1003.9,,0.6,-2.1,82.0,0.1,,150.0,14.8,,1012.9,,-1.1,-3.3,85.0,1.1,,280.0,33.5,,1005.2,,1.1,-6.7,56.0,0.0,,140.0,20.5,,1002.5,,0.0
923,2022-04-09 14:00:00,-0.6,-5.0,72.0,0.0,,0.0,0.0,,1020.3,,-1.1,-5.5,72.0,0.0,,70.0,7.6,,1009.5,,1.1,-8.9,47.0,0.0,,350.0,27.7,,1015.0,,-6.7,-10.0,77.0,0.0,,0.0,0.0,,1032.4,,-4.4,-7.2,81.0,0.0,,0.0,0.0,,1035.7,,-1.1,-4.4,78.0,0.0,,0.0,0.0,,1027.1,,7.2,-4.2,44.0,0.0,,360.0,20.5,,1012.0,,0.0
924,2025-11-11 00:00:00,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
925,2023-02-19 21:00:00,5.0,-4.3,51.0,0.0,,280.0,7.6,,1007.2,,0.0,-7.7,56.0,0.0,,360.0,18.4,,1003.3,,-0.6,-11.1,45.0,0.0,,340.0,20.5,,1018.3,,1.7,-11.8,36.0,0.0,,0.0,0.0,,1028.8,,3.9,-8.1,41.0,0.0,,320.0,9.4,,1025.9,,3.9,-6.7,46.0,0.0,,340.0,14.8,,1017.5,,7.2,-5.5,40.0,0.0,,340.0,18.4,,1020.9,,0.0
926,2022-08-25 03:00:00,25.0,7.1,32.0,0.0,,290.0,9.4,,1010.9,,18.9,10.7,59.0,0.3,,80.0,35.3,,1016.2,,19.4,9.0,51.0,0.0,,200.0,7.6,,1015.4,,20.0,10.9,56.0,0.0,,0.0,0.0,,1017.1,,25.0,5.2,28.0,0.0,,270.0,7.6,,1013.7,,27.2,6.6,27.0,0.0,,300.0,14.8,,1010.9,,26.7,4.4,24.0,0.0,,0.0,0.0,,1011.5,,0.0
927,2025-08-15 23:00:00,23.0,7.9,38.0,0.0,,320.0,15.0,,1020.0,,28.0,2.9,20.0,0.0,,300.0,9.0,,1020.0,,30.0,7.8,25.0,0.0,,290.0,11.0,,1020.0,,32.0,4.7,18.0,0.0,,300.0,9.0,,1017.0,,36.0,-0.4,10.0,0.0,,340.0,11.0,,1013.0,,30.0,7.2,24.0,0.0,,130.0,33.0,24.0,1015.0,,30.0,12.0,33.0,0.0,,0.0,0.0,13.0,1016.0,,0.0
928,2021-07-23 00:00:00,33.9,12.2,27.0,0.0,,160.0,5.4,,1015.0,,35.0,14.3,29.0,0.0,,210.0,5.4,,1018.0,,35.7,1.9,12.0,0.0,,2.0,11.5,,1010.8,,26.1,19.2,66.0,1.3,,240.0,11.2,,1022.0,,32.0,16.7,40.0,0.0,,350.0,9.4,,1018.0,,30.7,14.7,38.0,0.0,,260.0,14.8,,1018.0,,33.5,17.2,38.0,0.0,,0.0,0.0,,1017.0,,0.0
929,2021-11-29 02:00:00,2.2,-2.1,73.0,0.0,,0.0,0.0,,1023.5,,4.4,-2.7,60.0,0.0,,340.0,27.7,,1014.7,,2.2,-4.3,62.0,0.0,,200.0,7.6,,1032.8,,2.2,-4.3,62.0,0.0,,0.0,0.0,,1035.5,,1.7,-3.4,69.0,0.0,,0.0,0.0,,1026.3,,3.9,-1.1,70.0,0.0,,0.0,0.0,,1028.2,,5.6,0.6,70.0,0.0,,0.0,0.0,,1028.7,,0.0
