id,date_time,temperature_1,dewpoint_1,relative_humidity_1,precipitation_1,snow_1,wind_direction_1,wind_speed_1,wind_gust_1,air_pressure_1,temperature_2,dewpoint_2,relative_humidity_2,precipitation_2,snow_2,wind_direction_2,wind_speed_2,wind_gust_2,air_pressure_2,temperature_3,dewpoint_3,relative_humidity_3,precipitation_3,snow_3,wind_direction_3,wind_speed_3,wind_gust_3,air_pressure_3,temperature_4,dewpoint_4,relative_humidity_4,precipitation_4,snow_4,wind_direction_4,wind_speed_4,wind_gust_4,air_pressure_4,temperature_5,dewpoint_5,relative_humidity_5,precipitation_5,snow_5,wind_direction_5,wind_speed_5,wind_gust_5,air_pressure_5,temperature_6,dewpoint_6,relative_humidity_6,precipitation_6,snow_6,wind_direction_6,wind_speed_6,wind_gust_6,air_pressure_6,temperature_7,dewpoint_7,relative_humidity_7,precipitation_7,snow_7,wind_direction_7,wind_speed_7,wind_gust_7,air_pressure_7,has_fire
33,2022-07-17 16:00:00,25.6,8.1,33.0,0.0,,250.0,9.4,,1016.7,25.6,12.1,43.0,0.0,,250.0,16.6,,1014.1,29.4,9.5,29.0,0.0,,240.0,9.4,,1014.2,25.6,12.1,43.0,0.0,,0.0,0.0,,1016.1,21.1,17.9,82.0,0.3,,360.0,9.4,,1019.6,26.1,12.9,44.0,0.0,,150.0,5.4,,1018.1,26.7,12.7,42.0,0.0,,260.0,9.4,,1013.1,1.0
730,2023-05-26 15:00:00,12.8,6.6,66.0,0.0,,330.0,7.6,,1021.1,15.0,5.5,53.0,0.0,,0.0,0.0,,1017.2,17.2,3.8,41.0,0.0,,170.0,7.6,,1012.5,16.1,10.6,70.0,0.0,,330.0,5.4,,1011.8,14.4,11.2,81.0,0.0,,70.0,13.0,,1012.4,13.9,9.3,74.0,0.0,,20.0,5.4,,1009.6,13.3,9.0,75.0,0.0,,0.0,0.0,,1010.7,0.0
890,2023-02-09 21:00:00,0.5,-2.4,81.0,0.0,,320.0,22.3,,1024.7,3.0,-0.1,80.0,0.0,,320.0,17.0,,1023.0,-0.8,-0.8,100.0,0.3,,240.0,5.4,,1016.0,1.0,-0.0,93.0,0.2,,310.0,19.0,,1023.0,3.4,-0.8,74.0,0.0,,0.0,0.0,,1028.0,4.7,0.5,74.0,0.0,,320.0,18.4,,1024.0,0.8,-6.5,58.0,0.0,,0.0,0.0,,1033.0,0.0
601,2025-09-13 20:00:00,28.0,4.9,23.0,0.1,,240.0,15.0,,1022.0,28.0,-1.1,15.0,0.0,,210.0,7.0,,1019.0,29.0,2.3,18.0,0.0,,160.0,32.0,,1014.0,31.0,-4.2,10.0,0.0,,180.0,32.0,21.0,1012.0,26.0,-2.6,15.0,0.0,,300.0,24.0,17.0,1016.0,23.0,1.3,24.0,0.1,,220.0,11.0,,1017.0,24.0,2.7,25.0,0.0,,290.0,17.0,,1016.0,1.0
143,2024-03-24 20:00:00,16.0,-3.0,27.0,0.0,,330.0,11.0,,1023.0,16.0,-2.0,29.0,0.0,,5.0,7.0,,1019.0,18.0,-1.8,26.0,0.0,,356.0,6.0,,1016.0,14.4,1.6,42.0,0.0,,327.0,10.1,,1015.3,18.0,0.2,30.0,0.0,,200.0,7.0,,1017.0,12.0,0.1,44.0,0.0,,200.0,20.0,,1005.0,4.0,2.0,87.0,0.1,,310.0,22.0,,1001.0,0.0
838,2021-02-23 12:00:00,-6.0,-8.9,80.0,0.0,,349.0,10.4,,1020.6,-13.0,-15.0,85.0,0.0,,285.0,3.6,,1034.5,-9.0,-10.9,86.0,0.0,,73.0,7.9,,1028.2,-3.0,-11.9,50.0,0.0,,163.0,13.7,,1016.0,-7.0,-10.0,79.0,0.0,,343.0,15.8,,1033.2,-11.0,-12.0,92.0,0.0,,108.0,1.4,,1036.6,-7.0,-8.9,86.0,0.0,,118.0,4.7,,1022.7,0.0
120,2020-11-02 23:00:00,15.6,-15.9,10.0,0.0,,170.0,11.2,,1018.4,22.2,-7.5,13.0,0.0,,220.0,9.4,,1015.6,22.8,-6.1,14.0,0.0,,0.0,0.0,,1017.8,23.9,-3.5,16.0,0.0,,0.0,0.0,,1015.5,23.3,-4.8,15.0,,,0.0,0.0,,1019.7,25.6,-8.3,10.0,0.0,,210.0,5.4,,1022.5,21.7,0.2,24.0,0.0,,10.0,14.8,,1021.2,1.0
401,2024-07-03 01:00:00,31.0,8.0,24.0,0.0,,200.0,16.6,,1015.0,31.0,6.1,21.0,0.0,,50.0,22.3,,1008.0,27.0,-0.1,17.0,0.0,,10.0,14.8,,1014.0,37.0,0.3,10.0,0.0,,180.0,24.1,,1013.0,37.0,-4.5,7.0,0.0,,230.0,16.6,,1011.0,26.0,-0.2,18.0,0.0,,10.0,7.6,,1015.0,27.0,-1.0,16.0,0.0,,20.0,18.4,,1018.0,1.0
19,2020-07-27 19:00:00,29.4,7.3,25.0,,,260.0,11.2,,1011.4,20.6,14.0,66.0,,,120.0,16.6,,1015.9,30.0,9.5,28.0,,,0.0,0.0,,1010.8,30.0,7.8,25.0,,,90.0,7.6,,1013.1,30.6,6.4,22.0,,,150.0,5.4,,1012.0,29.4,9.0,28.0,,,280.0,9.4,,1014.7,30.0,8.4,26.0,,,280.0,9.4,,1012.6,1.0
28,2022-09-06 17:00:00,29.4,11.4,33.0,0.0,,150.0,16.6,,1024.0,29.7,11.7,33.0,0.0,,160.0,13.0,,1020.0,28.4,10.1,32.0,0.0,,0.0,0.0,,1022.0,29.3,8.9,28.0,0.0,,150.0,16.6,,1023.0,29.8,10.8,31.0,0.0,,130.0,7.6,,1023.0,30.2,12.6,34.0,0.0,,140.0,11.2,,1022.0,31.0,11.4,30.0,0.0,,110.0,5.4,,1024.0,1.0
752,2024-04-21 04:00:00,16.1,-4.5,24.0,0.0,,260.0,31.7,,1009.2,16.1,-2.9,27.0,0.0,,0.0,0.0,,1013.3,18.9,-2.1,24.0,0.0,,0.0,0.0,,1013.8,20.0,-2.4,22.0,0.0,,0.0,0.0,,1010.5,21.1,-2.1,21.0,0.0,,120.0,11.2,,1010.1,21.7,-2.9,19.0,0.0,,100.0,7.6,,1008.7,22.8,-1.3,20.0,0.0,,110.0,5.4,,1012.7,0.0
230,2024-09-22 06:00:00,13.9,2.2,45.0,0.0,,100.0,7.6,,1005.7,14.4,0.6,39.0,0.0,,150.0,7.6,,1003.7,3.9,1.1,82.0,0.0,,230.0,20.5,,1013.4,8.9,0.6,56.0,0.0,,0.0,0.0,,1014.2,12.2,0.6,45.0,0.0,,160.0,7.6,,1013.1,12.2,-1.7,38.0,0.0,,130.0,7.6,,1012.3,11.1,-1.0,43.0,0.0,,90.0,16.6,,1015.1,0.0
488,2023-10-04 07:00:00,13.9,-3.0,31.0,0.0,,220.0,11.2,,1011.0,13.9,-3.4,30.0,0.0,,140.0,14.8,,1009.2,17.2,-0.5,30.0,0.0,,210.0,22.3,,1003.4,7.8,4.9,82.0,1.0,,0.0,0.0,,1003.0,7.2,5.7,90.0,1.0,,280.0,7.6,,1012.0,5.0,4.0,93.0,0.0,,0.0,0.0,,1016.2,6.1,2.2,76.0,0.0,,50.0,5.4,,1018.2,0.0
157,2021-03-28 03:00:00,2.8,-4.0,61.0,0.0,,300.0,18.4,,1021.2,3.3,-0.5,76.0,,,0.0,0.0,,1014.9,3.9,-1.7,67.0,0.0,,340.0,24.1,,1014.7,6.1,-6.8,39.0,0.0,,310.0,14.8,,1010.3,2.8,0.5,85.0,0.3,,0.0,0.0,,1004.6,5.6,-2.2,57.0,0.0,,320.0,25.9,,1019.7,7.8,-2.8,47.0,0.0,,330.0,9.4,,1029.4,0.0
169,2021-08-19 03:00:00,31.1,10.9,29.0,0.0,,150.0,29.5,,1011.2,33.9,8.5,21.0,0.0,,280.0,13.0,,1012.6,31.1,15.1,38.0,0.0,,190.0,16.6,,1012.8,35.6,12.5,25.0,0.0,,250.0,13.0,,1006.9,35.6,8.4,19.0,0.0,,240.0,13.0,,1003.1,34.4,14.8,31.0,0.0,,190.0,29.5,,1001.6,31.7,10.9,28.0,0.0,,200.0,38.9,,1001.7,1.0
930,2023-03-17 05:00:00,2.2,0.6,89.0,3.9,,12.0,15.5,,1008.4,-2.0,-6.0,74.0,0.0,,190.0,5.4,,1017.9,0.0,-2.1,86.0,0.0,,0.0,0.0,,1021.0,0.0,-2.1,86.0,0.0,,0.0,0.0,,1017.7,2.0,0.1,87.0,0.0,,0.0,0.0,,1009.6,-1.0,-8.0,59.0,0.0,,30.0,35.3,,1018.2,-4.0,-11.0,58.0,0.0,,0.0,0.0,,1027.6,0.0
690,2023-09-02 07:00:00,15.0,10.0,72.0,0.0,,0.0,0.0,,1019.7,15.0,8.0,63.0,0.0,,0.0,0.0,,1019.9,11.0,5.9,71.0,0.0,,0.0,0.0,,1020.0,18.0,7.1,49.0,0.0,,0.0,0.0,,1013.1,10.0,5.0,71.0,0.0,,0.0,0.0,,1013.8,23.0,1.9,25.0,0.0,,0.0,0.0,,1009.6,15.0,12.0,82.0,0.0,,280.0,5.4,,1018.5,0.0
611,2020-06-08 08:00:00,19.4,4.3,37.0,0.0,,320.0,13.0,,1012.6,18.9,2.7,34.0,0.0,,170.0,13.0,,1014.0,19.4,4.3,37.0,0.0,,170.0,14.8,,1007.6,18.9,3.5,36.0,,,180.0,11.2,,1005.4,27.2,0.0,17.0,0.0,,170.0,29.5,,997.5,13.3,8.4,72.0,0.0,,150.0,7.6,,1002.6,8.3,3.9,74.0,0.0,,290.0,9.4,,1012.1,0.0
447,2020-03-17 19:00:00,12.8,-2.7,34.0,0.0,,190.0,11.2,,1016.2,11.1,-8.7,24.0,0.0,,10.0,5.4,,1015.6,10.6,-9.1,24.0,0.0,,180.0,18.4,,1002.8,13.9,-0.9,36.0,,,160.0,59.4,,1007.7,14.4,-4.4,27.0,0.0,,190.0,38.9,,1010.8,13.9,-3.4,30.0,0.0,,160.0,5.4,,1013.6,15.6,-5.5,23.0,,,190.0,18.4,,1005.6,0.0
681,2020-12-25 04:00:00,-2.0,-2.0,100.0,0.0,,190.0,7.6,,1029.8,-1.0,-3.0,86.0,0.0,,170.0,7.6,,1030.4,1.0,1.0,100.0,0.0,,0.0,0.0,,1025.1,5.0,0.9,75.0,0.0,,110.0,13.0,,1016.1,-1.0,-8.0,59.0,,,310.0,16.6,,1022.3,-8.0,-9.9,86.0,0.0,,180.0,13.0,,1037.1,-8.0,-9.1,92.0,0.0,,180.0,11.2,,1033.0,0.0
181,2020-04-26 12:00:00,-3.0,-6.0,80.0,,,0.0,0.0,,,0.0,-3.0,80.0,,,0.0,0.0,,,-1.0,-6.0,69.0,,,0.0,0.0,,,7.0,-0.0,61.0,,,80.0,9.4,,,0.0,-5.0,69.0,,,80.0,7.6,,,-1.0,-5.0,74.0,,,0.0,0.0,,,8.0,0.0,57.0,,,350.0,13.0,,,0.0
105,2021-06-23 14:00:00,29.4,-1.9,13.0,0.0,,100.0,13.0,,1009.7,28.9,-0.3,15.0,0.0,,210.0,7.6,,1007.9,26.7,5.0,25.0,0.0,,110.0,13.0,,1007.5,24.4,5.7,30.0,0.0,,140.0,9.4,,1006.0,25.0,3.0,24.0,0.0,,140.0,13.0,,1009.8,25.0,-2.6,16.0,0.0,,0.0,0.0,,1006.9,26.7,-3.0,14.0,0.0,,210.0,18.4,,1008.2,1.0
