station_url,latitude,longitude
https://api.weather.gov/stations/PC580,41.53539,-111.11048
https://api.weather.gov/stations/UCC11,41.60385,-111.56269
https://api.weather.gov/stations/UCC45,41.67071,-111.1746
https://api.weather.gov/stations/UCC05,41.83265,-111.08772
https://api.weather.gov/stations/UCC03,41.96046,-112.49057
https://api.weather.gov/stations/PC093,37.15272,-113.03411
https://api.weather.gov/stations/BDGU1,37.26665,-109.60739
https://api.weather.gov/stations/VEYU1,37.35222,-113.66667
https://api.weather.gov/stations/UCL27,37.62644,-112.04456
https://api.weather.gov/stations/PC094,37.64121,-113.37432
https://api.weather.gov/stations/UCC22,37.71907,-113.70202
https://api.weather.gov/stations/CJSU1,37.81333,-109.48723
https://api.weather.gov/stations/C4541,38.00783,-109.18333
https://api.weather.gov/stations/PC091,38.02526,-112.72667
https://api.weather.gov/stations/UCC24,38.07066,-109.56666
https://api.weather.gov/stations/LBVUT,38.14908,-109.12355
https://api.weather.gov/stations/PC187,38.18191,-109.26002
https://api.weather.gov/stations/TORU1,38.30278,-111.29333
https://api.weather.gov/stations/FREU1,38.30694,-111.5175
https://api.weather.gov/stations/FLSU1,38.50456,-111.76689
https://api.weather.gov/stations/UCL25,38.63411,-112.15766
https://api.weather.gov/stations/PPCUT,38.67485,-109.41637
https://api.weather.gov/stations/PC477,39.20008,-111.67505
https://api.weather.gov/stations/PC291,39.20267,-112.14391
https://api.weather.gov/stations/PC295,39.32128,-111.77027
https://api.weather.gov/stations/OARU1,39.3485,-112.1919
https://api.weather.gov/stations/C3996,39.37217,-112.33383
https://api.weather.gov/stations/UCL12,39.45063,-112.63814
https://api.weather.gov/stations/PC483,39.64046,-111.66621
https://api.weather.gov/stations/PC618,39.80492,-111.50706
https://api.weather.gov/stations/PC600,39.86103,-110.71848
https://api.weather.gov/stations/UCC54,40.07055,-112.45718
https://api.weather.gov/stations/UTVU1,40.13464,-109.64289
https://api.weather.gov/stations/UTMYT,40.19943,-110.06792
https://api.weather.gov/stations/DURU1,40.21028,-109.78139
https://api.weather.gov/stations/DPG07,40.2269,-112.72527
https://api.weather.gov/stations/UP106,40.27491,-112.39706
https://api.weather.gov/stations/PC489,40.33694,-112.60965
https://api.weather.gov/stations/DPG15,40.34109,-113.23533
https://api.weather.gov/stations/DPG16,40.36726,-113.00444
https://api.weather.gov/stations/MFKU1,40.49384,-112.6114
https://api.weather.gov/stations/UCL23,40.52842,-112.75906
https://api.weather.gov/stations/MTHU1,40.56167,-110.49222
https://api.weather.gov/stations/WTRU1,40.59361,-109.93167
https://api.weather.gov/stations/KGCU1,40.71632,-109.54401
https://api.weather.gov/stations/LBNU1,40.73785,-110.62121
https://api.weather.gov/stations/UTWDL,40.7729,-112.801
https://api.weather.gov/stations/BFLAT,40.78422,-113.82946
https://api.weather.gov/stations/HPSU1,40.90663,-109.96287
https://api.weather.gov/stations/K40U,40.9833,-109.6833
https://api.weather.gov/stations/PC559,41.1755,-111.40878
https://api.weather.gov/stations/UP142,41.22979,-111.08597
https://api.weather.gov/stations/UTMON,41.4446,-111.5056
https://api.weather.gov/stations/QNW,41.94467,-112.23377
https://api.weather.gov/stations/PC467,37.21006,-113.17707
https://api.weather.gov/stations/ALTU1,37.4402,-112.4819
https://api.weather.gov/stations/D4219,37.5717,-113.71144
https://api.weather.gov/stations/PGLU1,37.70433,-112.65024
https://api.weather.gov/stations/UCC20,37.86225,-112.88105
https://api.weather.gov/stations/UTMPO,37.873,-109.3061
https://api.weather.gov/stations/UTBVR,38.14989,-112.61045
https://api.weather.gov/stations/PC172,38.21609,-112.22536
https://api.weather.gov/stations/UTBEV,38.2934,-112.651
https://api.weather.gov/stations/UTFIM,38.318,-109.4175
https://api.weather.gov/stations/UTWCR,38.4212,-112.6492
https://api.weather.gov/stations/UCC56,38.42889,-111.91786
https://api.weather.gov/stations/UP010,38.48711,-112.98386
https://api.weather.gov/stations/PC198,38.49699,-112.21683
